,model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,training_time,train_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_auc
pytorch_regression,PyTorch NN Regression,0.9587388666394305,1.3073046355598414,0.7474451065063477,0.9543471336364746,0.7778897285461426,0.5976057648658752,1.397845983505249,,,,,,
pytorch_classification,PyTorch NN Classification,,,,,,,0.997307538986206,0.9972222222222222,0.9555555555555556,0.2,1.0,0.3333333333333333,0.9550561797752809
